name,trade_date,open,high,low,close,volume,OpenInterest,CCI,MACD,RSI
Brent oil,2015/2/12,56.33,59.91,56.07,59.24,371561,329806,78.66184077,0.727650383,60.37111073
Brent oil,2015/2/13,59.27,61.77,59.08,61.41,348799,331604,102.1794674,1.103201969,64.50884923
Brent oil,2015/2/16,61.49,62.57,60.71,61.6,171270,339836,103.5097779,1.400022135,64.85486423
Brent oil,2015/2/17,61.68,63,60.27,62.29,277965,327722,96.10662065,1.671661614,66.14569386
Brent oil,2015/2/18,62.3,62.46,59.25,59.46,224099,307778,68.56037321,1.639679307,56.91283953
Brent oil,2015/2/19,59.54,60.99,57.8,60.21,303861,296584,51.89969124,1.6557652,58.5635703
Brent oil,2015/2/20,60.89,61.72,60.51,60.59,125659,317698,60.21547879,1.679812379,59.41203287
Brent oil,2015/2/23,60.58,61.36,58.94,59.92,145660,315888,41.19275227,1.626062307,57.18854238
Brent oil,2015/2/24,59.92,60.94,58.87,59.32,135743,312616,29.29712786,1.517556554,55.19634521
Brent oil,2015/2/25,59.51,62.92,59.25,62.56,133814,308947,44.86954259,1.673712372,62.74379668
Brent oil,2015/2/26,62.53,63.25,60.33,61.17,135915,311956,36.18829463,1.666099837,58.21312807
Brent oil,2015/2/27,61.33,63.4,61.24,63.09,145228,311246,41.24301816,1.7943111,62.26627455
Brent oil,2015/3/2,62.83,62.96,60.04,60.67,173291,322136,20.0304868,1.681265098,55.02210718
Brent oil,2015/3/3,60.64,62.52,60.47,61.75,167299,321919,22.78730749,1.659690423,57.40387155
Brent oil,2015/3/4,61.54,61.69,60.24,61.06,162982,313523,12.34365946,1.568830601,55.38592741
Brent oil,2015/3/5,61.19,62.1,60.58,61.13,177542,333432,13.9460963,1.485349765,55.55661765
Brent oil,2015/3/6,61.19,61.75,59.67,60.26,160563,345631,2.006281505,1.333615779,52.85023239
Brent oil,2015/3/9,60.05,60.5,58.95,59.11,194228,352048,-17.14910954,1.107800084,49.42298049
Brent oil,2015/3/10,58.95,59.26,56.62,56.91,197285,360161,-54.37973912,0.742755877,43.59822787
Brent oil,2015/3/11,56.93,58.25,56.35,58.22,228623,352594,-56.26376931,0.552789551,47.56131519
Brent oil,2015/3/12,58.23,59.15,56.75,57.18,270011,350269,-56.21421371,0.314692976,44.86602686
Brent oil,2015/3/13,57.25,57.6,54.75,54.89,276362,356368,-95.21258262,-0.058114232,39.55110565
Brent oil,2015/3/16,54.66,55.01,52.65,54.15,283903,363984,-129.419862,-0.40856872,37.98516895
Brent oil,2015/3/17,54.1,54.38,52.57,53.3,240285,364846,-134.2906498,-0.746291539,36.21165022
Brent oil,2015/3/18,53.28,56.84,52.68,56.27,262440,363880,-88.87917574,-0.765461365,45.74384554
Brent oil,2015/3/19,56.18,56.2,53.91,54.46,209646,362911,-92.48771606,-0.916144717,41.65821551
Brent oil,2015/3/20,54.46,55.67,53.55,55.22,186667,356693,-87.66392135,-0.963134299,43.92301983
Brent oil,2015/3/23,55.24,56.19,54.12,55.89,191637,344310,-68.77548857,-0.935526315,45.91627751
Brent oil,2015/3/24,55.83,56.79,54.85,55.31,197476,342716,-57.91984142,-0.949502666,44.44354001
Brent oil,2015/3/25,55.09,57.17,54.7,56.38,256043,336435,-42.71030199,-0.86427613,47.77170602
Brent oil,2015/3/26,56.35,59.78,56.3,58.86,334870,341882,15.15033563,-0.589819144,54.56545077
Brent oil,2015/3/27,58.97,59.04,55.95,56.12,223862,339210,-10.30602172,-0.586642655,47.25222159
Brent oil,2015/3/30,57.45,57.58,56.18,57.45,133782,341935,-4.074229483,-0.471371701,50.7058275
Brent oil,2015/3/31,57.12,57.31,55.78,56.15,161563,337637,-15.20461356,-0.479391646,47.43650556
Brent oil,2015/4/1,56.18,58.72,55.76,57.73,203788,350823,17.28456071,-0.35417204,51.52719391
Brent oil,2015/4/2,57.75,58.32,55.12,56.23,187638,363132,0.279033032,-0.371687482,47.72951663
Brent oil,2015/4/7,59.3,60.32,58.17,59.66,222597,383893,77.57608235,-0.107556418,55.75910078
Brent oil,2015/4/8,59.35,59.75,56.61,57.29,268733,395125,39.15202276,-0.088450241,50.0392318
Brent oil,2015/4/9,57.3,59.16,57.1,57.92,214867,407511,44.27189386,-0.022216624,51.46453226
Brent oil,2015/4/10,57.88,59.18,57.33,59.1,206752,409786,56.88666832,0.124060047,54.10550579
Brent oil,2015/4/13,59.06,60.59,58.56,59.06,248540,412181,78.29497674,0.234059603,53.99824348
Brent oil,2015/4/14,59.14,60.44,58.95,60.17,296470,423360,87.4868321,0.406121254,56.57119284
Brent oil,2015/4/15,60.06,63.47,60.03,62.71,344269,435599,141.7156859,0.73892031,61.83199219
Brent oil,2015/4/16,62.9,64.95,62,63.94,293485,446816,172.161318,1.089359226,64.09990086
Brent oil,2015/4/17,64.02,64.5,62.95,63.72,220117,440260,156.6532783,1.333955423,63.37455813
Brent oil,2015/4/20,63.85,64.4,62.1,63.48,239802,447520,131.6656086,1.491243549,62.54310345
Brent oil,2015/4/21,63.52,63.52,61.65,61.78,218306,453644,94.33042613,1.461868223,56.85324743
Brent oil,2015/4/22,61.9,63.33,61.39,62.85,230058,449458,89.61026472,1.507550024,59.35936735
Brent oil,2015/4/23,62.88,65.58,62.22,64.75,326736,449517,118.6046179,1.677727504,63.4221738
Brent oil,2015/4/24,64.75,65.8,64.48,65.49,259489,423396,126.5017362,1.850969376,64.89417336
Brent oil,2015/4/27,65.47,65.61,64.4,64.65,189765,408212,102.0016843,1.898597972,61.85138687
Brent oil,2015/4/28,64.74,65.49,63.9,64.57,196461,402011,82.90276121,1.907895613,61.55536278
Brent oil,2015/4/29,64.64,66.72,64.13,65.6,238435,395005,86.12102194,1.975602931,63.9478039
Brent oil,2015/4/30,65.63,66.93,65.37,66.8,223481,383826,88.52194854,2.101862478,66.55885479
Brent oil,2015/5/1,66.78,66.93,65.52,66.51,189316,359672,75.24288738,2.153697023,65.32750589
Brent oil,2015/5/5,66.33,68.4,66.14,67.57,255639,316509,79.55548363,2.254322983,67.68106382
Brent oil,2015/5/6,68.43,70.36,68.04,68.15,182444,358607,93.63605034,2.353738502,68.92406303
Brent oil,2015/5/7,68.04,69.17,65.88,66.32,215495,364663,55.77893537,2.258822016,60.95786136
Brent oil,2015/5/8,66.16,66.88,65,66.4,194398,359046,32.3295349,2.165097453,61.1691523
Brent oil,2015/5/11,66.15,66.53,65.01,65.51,192324,355235,20.09721156,1.995995902,57.4445427
Brent oil,2015/5/12,65.5,67.95,65.4,67.82,296214,364025,36.59722022,2.025036043,63.63397462
Brent oil,2015/5/13,67.83,68.52,66.87,67.04,315582,364409,37.6241915,1.962488735,60.43751352
Brent oil,2015/5/14,67.03,67.82,66.26,66.65,247258,354307,25.23151878,1.860008778,58.84585129
Brent oil,2015/5/15,66.75,67,65.37,66.86,206137,346213,15.11381267,1.77527367,59.46488613
Brent oil,2015/5/18,66.91,67.88,65.92,66.3,198219,342030,18.99105642,1.64398236,57.00254005
Brent oil,2015/5/19,66.19,66.39,63.95,64.45,253354,323985,-19.09005711,1.37480561,49.68328049
Brent oil,2015/5/20,64.49,65.18,64.1,64.96,210395,309751,-26.48846421,1.188928604,51.53093478
Brent oil,2015/5/21,64.89,66.88,64.83,66.48,250909,297462,-1.505122349,1.151002989,56.64120322
Brent oil,2015/5/22,66.59,66.64,65.1,65.57,184554,294612,-10.92872287,1.035579752,53.03598003
Brent oil,2015/5/26,65.7,65.7,63.29,63.89,224131,278422,-49.62831953,0.799329869,47.07835046
Brent oil,2015/5/27,63.89,64.67,61.96,62.25,257061,268359,-84.73829916,0.474298423,42.10595492
Brent oil,2015/5/28,62.2,62.95,61.24,62.85,238590,256323,-98.73361323,0.262102294,44.41889148
Brent oil,2015/5/29,62.89,65.83,62.68,65.45,278461,242930,-36.57160094,0.300272252,53.15299674
Brent oil,2015/6/1,66.6,66.6,64.86,65.5,133238,256268,-7.010775772,0.330744188,53.30496164
Brent oil,2015/6/2,65.35,66.5,65.27,66.1,169533,264965,3.728853943,0.398712296,55.18368798
Brent oil,2015/6/3,66.11,66.12,64.26,64.46,193201,299408,-31.2400446,0.316593721,49.34021421
Brent oil,2015/6/4,64.56,64.74,62.48,62.81,175573,313821,-93.95152324,0.117023969,44.26194573
Brent oil,2015/6/5,62.6,64.12,61.67,63.92,161461,317082,-94.46939212,0.047879303,48.12968534
Brent oil,2015/6/8,63.56,64.04,63.04,63.19,208398,317049,-80.34769152,-0.065073119,45.87509835
Brent oil,2015/6/9,63.22,65.79,63.22,65.72,237039,323105,-8.777940937,0.048996329,53.92990984
Brent oil,2015/6/10,65.8,66.94,65.44,66.09,235649,318714,56.74989105,0.167324286,54.9849806
Brent oil,2015/6/11,66.11,66.71,65.2,65.47,193362,309791,44.95645097,0.208665856,52.80278341
Brent oil,2015/6/12,66.15,66.23,65.15,65.29,68815,344347,37.01201149,0.224319042,52.15561622
Brent oil,2015/6/15,65.07,65.37,64.04,64.68,139220,347353,-6.32405773,0.185365624,49.9225655
Brent oil,2015/6/16,64.47,65.11,64.2,64.45,164249,344839,-6.818215652,0.134386556,49.06948176
Brent oil,2015/6/17,64.51,66.21,63.41,64.48,178703,339593,0.640777201,0.095307383,49.19143961
Brent oil,2015/6/18,64.57,65.71,64.22,64.98,133455,333557,17.45030984,0.103489713,51.28519557
Brent oil,2015/6/19,64.9,65.25,63.1,63.5,116887,330392,-40.67885666,-0.009341677,45.33054229
Brent oil,2015/6/22,63.46,64.47,62.9,64.06,119614,319357,-42.82145954,-0.052963517,47.80024089
Brent oil,2015/6/23,63.99,65.57,63.52,65.23,136352,324182,16.99594198,0.006796734,52.61648996
Brent oil,2015/6/24,65.37,65.69,63.68,64.18,140376,321604,-6.549270333,-0.030220696,48.30870555
Brent oil,2015/6/25,64.19,64.54,63.31,63.93,130588,325463,-72.00731574,-0.07882158,47.31542882
Brent oil,2015/6/26,64.15,64.16,63.08,63.66,113379,332176,-97.04012956,-0.137539406,46.21035174
Brent oil,2015/6/29,63.23,63.59,62,62.55,154221,329314,-154.9452758,-0.270523008,41.87984465
Brent oil,2015/6/30,62.44,64.37,62.3,63.68,171974,329908,-75.37554114,-0.281487107,47.2947798
Brent oil,2015/7/1,63.6,63.85,62.27,62.5,200673,340648,-110.6826277,-0.381000437,42.80944994
Brent oil,2015/7/2,62.7,63.65,62.27,62.29,149013,343753,-123.9183759,-0.471376972,42.04522737
Brent oil,2015/7/3,62.28,62.56,60.63,61.09,63795,346188,-216.546352,-0.632539477,37.8834714
Brent oil,2015/7/6,60.45,60.54,56.87,57.14,172227,350525,-367.4806208,-1.066697685,28.04351983
Brent oil,2015/7/7,57.28,58.31,55.6,58,230109,349660,-309.633329,-1.32609004,32.17422319
Brent oil,2015/7/8,57.75,58.15,56.35,57.63,264126,354164,-242.467637,-1.543721201,31.3406382
Brent oil,2015/7/9,57.6,59.5,57.31,58.79,264472,349637,-160.4334892,-1.604102068,36.86348941
Brent oil,2015/7/10,58.87,59.9,58.15,58.89,197344,359340,-120.9630117,-1.625151442,37.33148277
Brent oil,2015/7/13,58.59,59.14,57.16,58.14,216365,351015,-126.2828096,-1.682951932,35.22271895
Brent oil,2015/7/14,58.05,58.98,56.75,58.94,330179,350850,-104.8163535,-1.645240613,39.16987945
Brent oil,2015/7/15,58.8,58.98,56.92,57.37,274669,343561,-100.2776224,-1.722187692,34.70100209
Brent oil,2015/7/16,57.36,58,56.86,56.95,246843,341343,-96.20424436,-1.796352068,33.59672646
Brent oil,2015/7/17,56.93,57.35,56.4,57.01,157126,343005,-90.7585104,-1.829200487,33.9202386
Brent oil,2015/7/20,57.12,57.44,56.33,56.54,161060,338871,-81.59188348,-1.871583716,32.58118116
Brent oil,2015/7/21,56.55,57.44,56.33,56.98,188877,332513,-65.91280081,-1.848361645,35.16172512
Brent oil,2015/7/22,56.88,56.9,55.92,56.09,221457,321766,-66.9713541,-1.880100916,32.45563506
Brent oil,2015/7/23,56.04,56.53,55.1,55.41,207129,310744,-68.57367003,-1.937787228,30.52277808
Brent oil,2015/7/24,55.39,55.6,54.3,54.56,195038,313149,-73.92561387,-2.02870628,28.25742023
Brent oil,2015/7/27,54.45,54.89,52.83,52.96,226373,313552,-85.98061863,-2.204455322,24.5620119
Brent oil,2015/7/28,53.08,54.08,52.28,52.98,290602,319453,-80.5744053,-2.315433002,24.6945836
Brent oil,2015/7/29,52.99,54.33,52.51,53.55,290427,316369,-63.99340091,-2.33052454,28.54849445
Brent oil,2015/7/30,53.6,54.38,53.02,53.38,217285,320284,-52.74904659,-2.329350964,28.08681903
Brent oil,2015/7/31,53.43,53.47,51.63,51.85,212823,324160,-65.5848996,-2.423937467,24.28100626
Brent oil,2015/8/3,51.55,52.01,49.36,49.59,306500,311023,-92.40118881,-2.650705383,19.97533697
Brent oil,2015/8/4,49.7,50.45,49.58,50.28,221652,296818,-90.89915323,-2.74312235,24.38405868
Brent oil,2015/8/5,50.14,50.99,49.02,49.72,280763,270733,-88.37041156,-2.828940517,23.26386205
Brent oil,2015/8/6,50.1,50.35,49.44,50.15,176252,312222,-79.37460735,-2.82963634,26.07227348
Brent oil,2015/8/7,50.19,50.61,49.06,49.21,191261,325768,-76.26778872,-2.872920687,24.00408536
Brent oil,2015/8/10,49.01,51.1,48.9,50.69,182847,327301,-59.94829898,-2.75603041,33.01387291
Brent oil,2015/8/11,51.1,51.69,49.18,49.87,225226,322976,-53.24764874,-2.69845506,30.83278168
Brent oil,2015/8/12,49.81,50.53,49.28,50.21,264689,325571,-51.14750067,-2.595472036,32.81476921
Brent oil,2015/8/13,50.38,50.83,49.25,49.65,309380,342374,-47.14972731,-2.529881666,31.22756599
Brent oil,2015/8/14,49.48,49.83,48.65,48.77,286658,337696,-54.87036357,-2.51986207,28.86484851
Brent oil,2015/8/17,48.76,49.44,48.35,48.57,195605,311805,-53.38983717,-2.499249998,28.34003377
Brent oil,2015/8/18,48.55,49.04,48.25,48.65,191533,308426,-48.77762359,-2.448237691,28.89692427
Brent oil,2015/8/19,48.5,49.11,46.78,46.88,250806,304542,-59.22793381,-2.52156722,24.38217518
Brent oil,2015/8/20,47.03,47.38,46.03,46.25,221543,297812,-68.58284382,-2.600539732,23.0045002
Brent oil,2015/8/21,46.34,46.51,45.07,45.43,231795,295485,-75.17455294,-2.698190107,21.3162273
Brent oil,2015/8/24,45.35,45.46,42.23,42.45,305733,285749,-103.0172094,-2.981669004,16.55987515
Brent oil,2015/8/25,42.79,44.5,42.68,43.5,292102,286294,-90.98092841,-3.086028038,23.07314891
Brent oil,2015/8/26,43.32,43.76,42.81,43.64,267561,288490,-83.77628496,-3.121454311,23.92582689
Brent oil,2015/8/27,43.75,47.75,43.7,47.4,333701,281499,-32.34931428,-2.81369479,42.39385085
Brent oil,2015/8/28,47.4,50.98,46.61,49.93,418778,266743,17.63167265,-2.338684398,51.01159925
Brent oil,2015/8/31,51.66,55.97,49.85,54.51,151923,275526,87.12211479,-1.574517459,62.07286139
Brent oil,2015/9/1,54.37,55.02,50.06,50.21,178721,279994,58.87125915,-1.300887893,50.53573457
Brent oil,2015/9/2,50.1,52.59,49.33,52.17,139424,290706,52.24723319,-0.915327544,54.67135731
Brent oil,2015/9/3,52.16,54.05,51.48,52.34,127408,295842,73.02586076,-0.589258011,55.02261119
Brent oil,2015/9/4,52.43,52.63,50.97,51,98292,297108,52.93066083,-0.433969824,51.62664856
Brent oil,2015/9/7,51.02,51.17,49.22,49.42,45075,302174,24.55207076,-0.433399651,47.87463698
Brent oil,2015/9/8,49.47,51.54,49.34,51.04,153436,306010,38.24564465,-0.298783138,51.74684403
Brent oil,2015/9/9,51.03,51.66,49.15,49.23,133134,325370,26.75189629,-0.334296888,47.50103196
Brent oil,2015/9/10,49.04,50.78,48.62,50.55,123175,334640,26.6661246,-0.253012255,50.6792701
Brent oil,2015/9/11,50.47,50.84,48.98,49.91,141795,342094,25.10737396,-0.237498514,49.12637848
Brent oil,2015/9/14,49.82,50.06,48.14,48.38,125779,354658,3.156925023,-0.344688619,45.53430168
Brent oil,2015/9/15,48.46,49.01,47.86,48.95,197521,364326,-2.484195411,-0.379271311,47.08656338
Brent oil,2015/9/16,48.68,51.06,48.53,50.75,210551,373095,30.47007959,-0.258454088,51.76191478
Brent oil,2015/9/17,50.77,50.91,49.12,50.12,162707,364153,26.18067704,-0.211107784,50.09358043
Brent oil,2015/9/18,49.75,50.51,47.92,48.58,136214,360929,-4.926690795,-0.294456318,46.17570065
Brent oil,2015/9/21,48.4,49.75,48.23,49.4,112311,360176,-10.75686325,-0.290989143,48.48601968
Brent oil,2015/9/22,49.38,49.99,48.48,49.96,114219,364780,-10.34795909,-0.240284215,50.06246717
Brent oil,2015/9/23,49.83,51,48.41,48.48,149391,362227,-31.10995637,-0.315882528,46.05143673
Brent oil,2015/9/24,48.58,49.13,48.1,49.01,139411,366795,-59.56564557,-0.329232972,47.66842313
Brent oil,2015/9/25,48.77,49.76,48.52,49.15,116545,367462,-43.07119018,-0.324772688,48.11084838
Brent oil,2015/9/28,48.92,49.06,47.93,48.09,124809,361314,-73.21345166,-0.402135455,45.0082155
Brent oil,2015/9/29,47.9,49.28,47.9,48.59,123699,363369,-59.70779228,-0.41827853,46.75257039
Brent oil,2015/9/30,48.59,49.65,48.43,49.13,164061,359027,-32.48031952,-0.383082607,48.64713806
Brent oil,2015/10/1,49.15,50.5,48.31,48.79,151227,365854,-18.67324299,-0.378264348,47.50113623
Brent oil,2015/10/2,48.68,49.19,47.6,48.89,159034,376303,-57.00753393,-0.362201446,47.88996212
Brent oil,2015/10/5,49.9,50.47,48.51,49.9,190591,383122,23.96102927,-0.264919098,51.77490318
Brent oil,2015/10/6,50.05,52.8,49.47,52.63,279671,390092,173.3312925,0.032096064,60.37426681
Brent oil,2015/10/7,52.69,53.58,51.7,52.11,323992,395632,208.0500701,0.222953002,58.24383069
Brent oil,2015/10/8,52.58,53.85,51.76,53.55,256717,413999,214.9412151,0.484815811,62.21964849
Brent oil,2015/10/9,53.62,54.36,52.47,52.75,256528,413676,193.4095238,0.620636351,58.86625579
Brent oil,2015/10/12,53.04,53.62,50.16,50.63,282586,417923,82.56699298,0.550858866,51.0189757
Brent oil,2015/10/13,50.75,51.14,49.34,49.66,338728,418547,1.920346203,0.412533385,47.87430089
Brent oil,2015/10/14,49.4,50.02,49.21,49.58,253545,431488,-21.45709983,0.293075719,47.61363854
Brent oil,2015/10/15,49.6,50.35,48.7,50.33,321415,442912,-10.44986829,0.255972696,50.34330533
Brent oil,2015/10/16,50.21,50.7,49.31,50.5,225956,435524,8.096536374,0.237547562,50.96697189
Brent oil,2015/10/19,50.38,50.68,48.57,48.91,223306,433139,-37.82376713,0.093567214,45.24345115
Brent oil,2015/10/20,48.83,49.2,48.22,48.52,253325,442279,-74.57207672,-0.051415306,43.94002364
Brent oil,2015/10/21,48.58,48.65,47.5,47.89,244638,449014,-101.0314373,-0.21467608,41.84294818
Brent oil,2015/10/22,47.96,48.73,47.65,48.22,201591,443972,-88.84043204,-0.313815706,43.36762098
Brent oil,2015/10/23,48.32,48.65,47.45,48.08,242056,443697,-90.61970109,-0.399081045,42.85432518
Brent oil,2015/10/26,48,48.33,47.3,47.46,193978,443150,-105.0459159,-0.510795132,40.5645287
Brent oil,2015/10/27,47.43,47.57,46.41,47.03,243114,444088,-127.9625923,-0.62680138,39.00779243
Brent oil,2015/10/28,46.91,49.23,46.61,49.12,306597,447320,-62.97746751,-0.543822784,49.21029698
Brent oil,2015/10/29,49.15,49.38,48.17,48.61,213925,436097,-42.73589616,-0.513297413,47.13818202
Brent oil,2015/10/30,48.66,50,48.28,49.5,238590,428189,-20.54134057,-0.412534831,51.01458705
Brent oil,2015/11/2,49.5,49.69,48.61,48.77,224283,427576,-29.44956568,-0.387122154,47.91116178
Brent oil,2015/11/3,48.9,50.91,48.46,50.25,283357,420419,12.98023303,-0.24473761,54.01852009
Brent oil,2015/11/4,50.25,50.87,48.49,48.92,328135,409704,-1.131306703,-0.236490602,48.51364756
Brent oil,2015/11/5,48.84,49,47.93,48.12,227998,369372,-50.91137958,-0.291151885,45.50944538
Brent oil,2015/11/6,48.86,49.35,48.03,48.39,218226,413537,-26.70520559,-0.309121245,46.70888528
Brent oil,2015/11/9,48.26,49.14,47.76,47.98,197570,425975,-38.01913498,-0.352383606,45.08594255
Brent oil,2015/11/10,48.05,48.53,47.67,47.71,246321,417323,-51.76206703,-0.403801313,44.00167249
Brent oil,2015/11/11,47.76,48.37,46.42,46.59,325820,409619,-96.01594276,-0.528828846,39.73305523
Brent oil,2015/11/12,46.74,47.07,45,45.2,363154,403730,-153.8143799,-0.731641542,35.17263932
Brent oil,2015/11/13,45.19,45.95,44.16,44.6,303947,436724,-165.8189914,-0.93006583,33.39106519
Brent oil,2015/11/16,44.7,45.18,43.15,44.86,310123,437238,-161.4432528,-1.054186673,34.92919123
Brent oil,2015/11/17,44.7,45.1,43.5,43.99,260695,440361,-149.4623772,-1.208820534,32.24591874
Brent oil,2015/11/18,43.97,44.74,43.34,44.27,255682,454767,-138.1437768,-1.293860504,34.00312634
Brent oil,2015/11/19,44.3,44.76,43.7,44.26,201033,441020,-119.9990747,-1.346540133,33.96924192
Brent oil,2015/11/20,44.38,45.5,44.06,44.48,245339,438588,-94.11405887,-1.354918303,35.49224425
Brent oil,2015/11/23,44.46,45.73,43.57,45.11,290998,414308,-83.62556887,-1.295785321,39.77601597
Brent oil,2015/11/24,45.11,46.5,44.92,45.91,271930,413042,-45.52719326,-1.170871614,44.78982334
Brent oil,2015/11/25,46.04,46.5,45.03,46.28,229114,405699,-34.70992249,-1.030145813,46.98803004
Brent oil,2015/11/26,46.23,46.32,45,45.62,97318,404393,-40.36396806,-0.960800576,43.64949808
Brent oil,2015/11/27,45.57,45.63,44.79,44.87,165308,406110,-53.14747565,-0.955350027,40.15777381
Brent oil,2015/11/30,44.86,45.75,44.44,44.5,235944,403924,-51.87941327,-0.969708144,38.52065755
Brent oil,2015/12/1,44.62,45.18,44.03,44.28,301200,389211,-55.17223743,-0.987456433,37.54067661
Brent oil,2015/12/2,44.32,44.64,42.43,42.68,324059,352221,-85.36307899,-1.117744051,31.30337091
Brent oil,2015/12/3,43.49,45.29,43.28,44.68,160262,371920,-36.23927343,-1.04753926,43.85973946
Brent oil,2015/12/4,44.68,45.32,43.17,43.73,208202,382472,-39.65838355,-1.056381214,40.10953814
Brent oil,2015/12/7,43.72,43.77,41.1,41.1,205298,388744,-95.73036306,-1.261070708,31.96180707
Brent oil,2015/12/8,41.29,41.83,40.2,40.78,250656,382705,-111.0635514,-1.432595859,31.13311996
Brent oil,2015/12/9,40.94,41.79,39.8,40.55,267927,376283,-103.2054989,-1.56900336,30.52060744
Brent oil,2015/12/10,40.6,40.97,39.82,39.97,230437,381192,-106.1875127,-1.704262761,28.97262844
Brent oil,2015/12/11,39.91,40.13,37.73,38.27,281105,381282,-136.7108241,-1.926425963,24.97436062
Brent oil,2015/12/14,38.39,38.68,36.75,37.99,290180,370483,-146.5148238,-2.100868062,24.37764216
Brent oil,2015/12/15,38.76,40.26,38.46,39.03,136928,399935,-100.7480967,-2.130634743,30.97460432
Brent oil,2015/12/16,39.22,39.36,37.78,38.2,133706,414747,-112.3345705,-2.195886305,28.81422432
Brent oil,2015/12/17,38.18,38.5,37.32,37.49,103248,415555,-117.7214513,-2.278623155,27.07461543
Brent oil,2015/12/18,37.38,38.21,36.92,37.1,86429,412777,-112.8270119,-2.348589369,26.14102117
Brent oil,2015/12/21,37.07,37.24,36.5,36.64,85935,412660,-112.4641614,-2.413336809,25.04409081
Brent oil,2015/12/22,36.75,37.17,36.45,36.86,92272,410304,-95.9528505,-2.419012589,26.62980786
Brent oil,2015/12/23,36.88,38.4,36.77,38.3,113657,410411,-63.19633264,-2.281020535,36.15113517
Brent oil,2015/12/24,38.26,38.62,37.44,38.39,46498,409226,-47.45560364,-2.13973308,36.7039998
Brent oil,2015/12/29,37.08,38.4,37.06,37.83,97073,410240,-47.13095027,-2.049325722,34.69113618
Brent oil,2015/12/30,37.71,37.95,36.76,37.07,112052,424414,-48.7487829,-2.015766387,32.11691956
Brent oil,2015/12/31,36.99,38.34,36.5,37.99,78612,418671,-34.75315297,-1.893111452,38.10441451
Brent oil,2016/1/4,37.96,39.3,37.15,37.72,217739,411122,-21.16605475,-1.796978821,37.07099077
Brent oil,2016/1/5,37.64,37.95,36.7,37.03,223017,419844,-30.45085738,-1.756225578,34.49618642
Brent oil,2016/1/6,37.06,37.15,34.52,34.75,257591,421039,-55.58613592,-1.886162773,27.65976323
