,date,value
170,2019-09-10,95928.58420000003
171,2019-09-11,95928.58420000003
172,2019-09-12,95789.34419999999
173,2019-09-16,93735.5542
174,2019-09-17,89732.4042
175,2019-09-18,92808.56390000001
176,2019-09-19,92370.3944
177,2019-09-20,90730.09440000002
178,2019-09-23,93217.0684
179,2019-09-24,92778.34965
180,2019-09-25,94759.9684
181,2019-09-26,94310.386
182,2019-09-27,94553.21599999999
183,2019-09-30,89384.40599999999
184,2019-10-08,94378.55184999999
185,2019-10-09,93921.50875
186,2019-10-10,88487.88875
187,2019-10-11,90179.53285
188,2019-10-14,89749.7902
189,2019-10-15,89181.4802
190,2019-10-16,88813.75020000001
191,2019-10-17,90517.51015
192,2019-10-18,90084.97745
193,2019-10-21,90084.97745
194,2019-10-22,89821.13745
195,2019-10-23,90876.49745
196,2019-10-24,89953.05745000001
197,2019-10-25,90843.51745
198,2019-10-28,91668.01745
199,2019-10-29,89656.23745
200,2019-10-30,89392.39744999999
201,2019-10-31,89689.21745
202,2019-11-01,89359.41745000001
203,2019-11-04,90513.71745
204,2019-11-05,91239.27745
205,2019-11-06,89722.19745
206,2019-11-07,91635.03744999999
207,2019-11-08,92195.69745
208,2019-11-11,91799.93745
209,2019-11-12,91503.11745
210,2019-11-13,92294.63745
211,2019-11-14,90216.89744999999
212,2019-11-15,92244.83765
213,2019-11-18,91804.6004
214,2019-11-19,92712.6404
215,2019-11-20,92615.3504
216,2019-11-21,92745.0704
217,2019-11-22,92842.36039999999
218,2019-11-25,91837.0304
219,2019-11-26,91026.2804
220,2019-11-27,91804.6004
221,2019-11-28,91156.00039999999
222,2019-11-29,91156.00039999999
223,2019-12-02,90993.8504
224,2019-12-03,90525.39905
225,2019-12-04,90525.39905
226,2019-12-05,90525.39905
227,2019-12-06,90100.58435
228,2019-12-09,89424.07445
229,2019-12-10,89424.07445
230,2019-12-11,89021.2157
231,2019-12-12,88089.0866
232,2019-12-13,88089.0866
233,2019-12-16,88089.0866
234,2019-12-17,88089.0866
235,2019-12-18,88089.0866
236,2019-12-19,88089.0866
237,2019-12-20,88089.0866
238,2019-12-23,88089.0866
239,2019-12-24,87668.86515
240,2019-12-25,88688.89514999998
241,2019-12-26,87885.23515
242,2019-12-27,88132.51514999999
243,2019-12-30,90203.48515
244,2019-12-31,89801.65514999999
245,2020-01-02,90265.30515
246,2020-01-03,91408.97514999998
247,2020-01-06,91501.70515
248,2020-01-07,93974.50515
249,2020-01-08,93170.84514999998
250,2020-01-09,93047.20515
251,2020-01-10,93232.66514999999
252,2020-01-13,93603.58515
253,2020-01-14,96849.13514999999
254,2020-01-15,91285.33514999998
255,2020-01-16,92150.81515
256,2020-01-17,92490.82514999999
257,2020-01-20,92738.10514999999
258,2020-01-21,87267.03514999998
259,2020-01-22,85649.3603
260,2020-01-23,85649.3603
261,2020-02-10,85649.3603
262,2020-02-11,85250.4731
263,2020-02-12,85837.8299
264,2020-02-13,85430.27945
265,2020-02-14,87488.75945
266,2020-02-17,85573.22944999998
267,2020-02-18,85058.60944999999
268,2020-02-19,81381.5066
269,2020-02-20,81381.5066
270,2020-02-21,80991.49685
271,2020-02-24,80828.59685
272,2020-02-25,80828.59685
273,2020-02-26,81697.39684999999
274,2020-02-27,83570.74685
275,2020-02-28,85036.84685
276,2020-03-02,84493.84685
277,2020-03-03,84711.04685
278,2020-03-04,86720.14685
279,2020-03-05,84602.44685
280,2020-03-06,86421.49685
281,2020-03-09,85416.94685
282,2020-03-10,85362.64685
283,2020-03-11,84439.54685
284,2020-03-12,84249.49685
285,2020-03-13,84385.24685
286,2020-03-16,84222.34685
287,2020-03-17,84005.14685
288,2020-03-18,84928.24685
289,2020-03-19,84928.24685
290,2020-03-20,84982.54685
291,2020-03-23,84548.14684999999
292,2020-03-24,83896.54685
293,2020-03-25,83654.09735
294,2020-03-26,83654.09735
295,2020-03-27,83654.09735
296,2020-03-30,83654.09735
297,2020-03-31,83654.09735
298,2020-04-01,83654.09735
299,2020-04-02,83654.09735
300,2020-04-03,83654.09735
301,2020-04-07,83654.09735
302,2020-04-08,83654.09735
303,2020-04-09,83654.09735
304,2020-04-10,83654.09735
305,2020-04-13,83654.09735
306,2020-04-14,83654.09735
307,2020-04-15,83654.09735
308,2020-04-16,83654.09735
309,2020-04-17,83654.09735
310,2020-04-20,83654.09735
311,2020-04-21,83654.09735
312,2020-04-22,83654.09735
313,2020-04-23,83654.09735
314,2020-04-24,83654.09735
315,2020-04-27,83654.09735
316,2020-04-28,83654.09735
317,2020-04-29,83654.09735
318,2020-04-30,83654.09735
319,2020-05-06,83654.09735
320,2020-05-07,83654.09735
321,2020-05-08,83654.09735
322,2020-05-11,83654.09735
323,2020-05-12,83654.09735
324,2020-05-13,83654.09735
325,2020-05-14,83654.09735
326,2020-05-15,83252.95115
327,2020-05-18,82801.59115
328,2020-05-19,83394.00114999998
329,2020-05-20,81306.46114999999
330,2020-05-21,82065.87434999998
331,2020-05-22,81681.81434999999
332,2020-05-25,83831.58154999999
333,2020-05-26,83442.94039999999
334,2020-05-27,84131.9141
335,2020-05-28,83739.7861
336,2020-05-29,85617.21329999999
337,2020-06-01,85217.47999999998
338,2020-06-02,82493.95999999999
339,2020-06-03,85664.59119999998
340,2020-06-04,85259.46859999998
341,2020-06-05,85488.02859999998
342,2020-06-08,83316.70859999997
343,2020-06-09,83177.14414999998
344,2020-06-10,83177.14414999998
345,2020-06-11,83177.14414999998
346,2020-06-12,83177.14414999998
347,2020-06-15,83177.14414999998
348,2020-06-16,83177.14414999998
349,2020-06-17,83177.14414999998
350,2020-06-18,83177.14414999998
351,2020-06-19,83177.14414999998
352,2020-06-22,83177.14414999998
353,2020-06-23,83177.14414999998
354,2020-06-24,83177.14414999998
355,2020-06-29,83177.14414999998
356,2020-06-30,83177.14414999998
357,2020-07-01,83177.14414999998
358,2020-07-02,83177.14414999998
359,2020-07-03,83177.14414999998
360,2020-07-06,83177.14414999998
361,2020-07-07,83177.14414999998
362,2020-07-08,83177.14414999998
363,2020-07-09,83177.14414999998
364,2020-07-10,83177.14414999998
365,2020-07-13,82786.96014999998
366,2020-07-14,83167.533
367,2020-07-15,82778.55399999999
368,2020-07-16,83362.52579999999
369,2020-07-17,82959.80949999999
370,2020-07-20,84752.2295
371,2020-07-21,83306.7295
372,2020-07-22,85561.7095
373,2020-07-23,84578.7695
374,2020-07-24,84029.4795
375,2020-07-27,82815.25949999999
376,2020-07-28,84578.7695
377,2020-07-29,84405.30949999999
378,2020-07-30,83422.36949999999
379,2020-07-31,84376.3995
380,2020-08-03,83711.46949999999
381,2020-08-04,83075.44949999999
382,2020-08-05,83364.5495
383,2020-08-06,83364.5495
384,2020-08-07,83942.74949999999
385,2020-08-10,83769.2895
386,2020-08-11,83422.36949999999
387,2020-08-12,82959.80949999999
388,2020-08-13,82959.80949999999
389,2020-08-14,82569.631
390,2020-08-17,82955.3535
391,2020-08-18,82565.0367
392,2020-08-19,82784.13750000001
393,2020-08-20,82393.26650000001
394,2020-08-21,82057.75730000001
395,2020-08-24,82057.75730000001
396,2020-08-25,81670.80990000001
397,2020-08-26,80981.9994
398,2020-08-27,80981.9994
399,2020-08-28,80981.9994
400,2020-08-31,80981.9994
401,2020-09-01,80981.9994
402,2020-09-02,80601.4174
403,2020-09-03,80248.07849999999
404,2020-09-04,80248.07849999999
405,2020-09-07,80248.07849999999
406,2020-09-08,80248.07849999999
407,2020-09-09,80248.07849999999
408,2020-09-10,80248.07849999999
409,2020-09-11,80248.07849999999
410,2020-09-14,79876.52874999998
411,2020-09-15,81289.23289999999
412,2020-09-16,80907.80195
413,2020-09-17,81431.63195
414,2020-09-18,81050.89025
415,2020-09-21,81549.56934999999
416,2020-09-22,81170.37
417,2020-09-23,82670.08885
418,2020-09-24,82285.6636
419,2020-09-25,83464.18435
420,2020-09-28,83074.50935
421,2020-09-29,83643.57655
422,2020-09-30,83250.72344999999
423,2020-10-09,82034.34864999999
424,2020-10-12,82034.34864999999
425,2020-10-13,81636.61074999999
426,2020-10-14,78921.58075
427,2020-10-15,77590.51629999999
428,2020-10-16,77590.51629999999
429,2020-10-19,77229.44299999998
430,2020-10-20,78636.99214999999
431,2020-10-21,78269.03494999999
432,2020-10-22,78966.92174999998
433,2020-10-23,78597.04674999998
434,2020-10-26,78227.17174999998
435,2020-10-27,78227.17174999998
436,2020-10-28,78227.17174999998
437,2020-10-29,78227.17174999998
438,2020-10-30,78227.17174999998
439,2020-11-02,78227.17174999998
440,2020-11-03,77854.56134999997
441,2020-11-04,76037.60134999997
442,2020-11-05,76923.63654999998
443,2020-11-06,76561.95654999997
444,2020-11-09,76436.68854999998
445,2020-11-10,76436.68854999998
446,2020-11-11,76436.68854999998
447,2020-11-12,76074.16799999998
448,2020-11-13,76074.16799999998
449,2020-11-16,76413.33799999997
450,2020-11-17,76674.23799999997
451,2020-11-18,77117.76799999998
452,2020-11-19,76335.06799999997
453,2020-11-20,76569.87799999998
454,2020-11-23,76856.86799999997
455,2020-11-24,77196.03799999997
456,2020-11-25,77013.40799999997
457,2020-11-26,76909.04799999998
458,2020-11-27,77065.58799999997
459,2020-11-30,75239.28799999997
