,date,value
276,2020-03-02,170991.4634
277,2020-03-03,171414.7434
278,2020-03-04,175330.0834
279,2020-03-05,171203.1034
280,2020-03-06,174748.0734
281,2020-03-09,172790.4034
282,2020-03-10,172684.5834
283,2020-03-11,170885.6434
284,2020-03-12,170515.2734
285,2020-03-13,170779.8234
286,2020-03-16,170462.3634
287,2020-03-17,170039.0834
288,2020-03-18,171838.0234
289,2020-03-19,171838.0234
290,2020-03-20,171943.84339999998
291,2020-03-23,171097.2834
292,2020-03-24,169827.44340000002
293,2020-03-25,170144.9034
294,2020-03-26,168187.2334
295,2020-03-27,169245.4334
296,2020-03-30,168345.9634
297,2020-03-31,168663.4234
298,2020-04-01,167446.4934
299,2020-04-02,167763.9534
300,2020-04-03,167340.6734
301,2020-04-07,167605.2234
302,2020-04-08,167975.59339999998
303,2020-04-09,167181.94340000002
304,2020-04-10,165647.5534
305,2020-04-13,164853.9034
306,2020-04-14,162314.2234
307,2020-04-15,162843.3234
308,2020-04-16,163795.7034
309,2020-04-17,161573.4834
310,2020-04-20,158240.1534
311,2020-04-21,159668.7234
312,2020-04-22,162314.2234
313,2020-04-23,160462.3734
314,2020-04-24,161467.6634
315,2020-04-27,162208.4034
316,2020-04-28,160250.7334
317,2020-04-29,161044.3834
318,2020-04-30,159774.5434
319,2020-05-06,161996.7634
320,2020-05-07,161414.75340000002
321,2020-05-08,160779.8334
322,2020-05-11,160779.8334
323,2020-05-12,159404.1734
324,2020-05-13,160197.8234
325,2020-05-14,161203.1134
326,2020-05-15,162631.6834
327,2020-05-18,161785.1234
328,2020-05-19,162896.2334
329,2020-05-20,158980.8934
330,2020-05-21,161150.2034
331,2020-05-22,158980.8934
332,2020-05-25,163848.6134
333,2020-05-26,160250.7334
334,2020-05-27,162314.2234
335,2020-05-28,159509.9934
336,2020-05-29,163795.7034
337,2020-06-01,161256.0234
338,2020-06-02,156176.6634
339,2020-06-03,162843.3234
340,2020-06-04,162208.4034
341,2020-06-05,162631.6834
342,2020-06-08,158610.5234
343,2020-06-09,159086.7134
344,2020-06-10,158980.8934
345,2020-06-11,158293.0634
346,2020-06-12,158980.8934
347,2020-06-15,158822.1634
348,2020-06-16,157869.7834
349,2020-06-17,157076.1334
350,2020-06-18,157499.4134
351,2020-06-19,157499.4134
352,2020-06-22,157605.2334
353,2020-06-23,156758.6734
354,2020-06-24,156758.6734
355,2020-06-29,156705.7634
356,2020-06-30,157922.69340000002
357,2020-07-01,158187.2434
358,2020-07-02,156864.4934
359,2020-07-03,157605.2334
360,2020-07-06,155594.6534
361,2020-07-07,155488.8334
362,2020-07-08,155224.2834
363,2020-07-09,157234.8634
364,2020-07-10,157869.7834
365,2020-07-13,156070.84339999998
366,2020-07-14,157499.4134
367,2020-07-15,155277.19340000002
368,2020-07-16,157076.1334
369,2020-07-17,159562.9034
370,2020-07-20,162843.3234
371,2020-07-21,160197.8234
372,2020-07-22,164324.8034
373,2020-07-23,162525.8634
374,2020-07-24,161520.5734
375,2020-07-27,159298.3534
376,2020-07-28,162525.8634
377,2020-07-29,162208.4034
378,2020-07-30,160409.4634
379,2020-07-31,162155.4934
380,2020-08-03,160938.5634
381,2020-08-04,159774.5434
382,2020-08-05,160303.6434
383,2020-08-06,160303.6434
384,2020-08-07,161361.84339999998
385,2020-08-10,161044.3834
386,2020-08-11,160409.4634
387,2020-08-12,160303.6434
388,2020-08-13,161838.0334
389,2020-08-14,160409.4634
390,2020-08-17,161890.94340000002
391,2020-08-18,160515.2834
392,2020-08-19,161679.3034
393,2020-08-20,160832.7434
394,2020-08-21,160938.5634
395,2020-08-24,161679.3034
396,2020-08-25,160621.1034
397,2020-08-26,160039.09339999998
398,2020-08-27,159880.3634
399,2020-08-28,158663.4334
400,2020-08-31,157658.1434
401,2020-09-01,160779.8334
402,2020-09-02,159245.44340000002
403,2020-09-03,159298.3534
404,2020-09-04,158716.34339999998
405,2020-09-07,159298.3534
406,2020-09-08,157869.7834
407,2020-09-09,159562.9034
408,2020-09-10,159615.8134
409,2020-09-11,160568.19340000002
410,2020-09-14,156864.4934
411,2020-09-15,160356.5534
412,2020-09-16,158557.6134
413,2020-09-17,160303.6434
414,2020-09-18,158028.5134
415,2020-09-21,159721.6334
416,2020-09-22,156652.8534
417,2020-09-23,160250.7334
418,2020-09-24,157181.9534
419,2020-09-25,160144.9134
420,2020-09-28,157658.1434
421,2020-09-29,159457.0834
422,2020-09-30,157816.8734
423,2020-10-09,156282.4834
424,2020-10-12,159457.0834
425,2020-10-13,162525.8634
426,2020-10-14,157393.59339999998
427,2020-10-15,155594.6534
428,2020-10-16,159139.6234
429,2020-10-19,156176.6634
430,2020-10-20,159721.6334
431,2020-10-21,157552.3234
432,2020-10-22,159668.7234
433,2020-10-23,157658.1434
434,2020-10-26,157658.1434
435,2020-10-27,156123.75340000002
436,2020-10-28,156811.5834
437,2020-10-29,157605.2334
438,2020-10-30,157499.4134
439,2020-11-02,159298.3534
440,2020-11-03,159721.6334
441,2020-11-04,156123.75340000002
442,2020-11-05,158610.5234
443,2020-11-06,157129.0434
444,2020-11-09,157605.2334
445,2020-11-10,157076.1334
446,2020-11-11,159404.1734
447,2020-11-12,159192.5334
448,2020-11-13,159192.5334
449,2020-11-16,159880.3634
450,2020-11-17,160409.4634
451,2020-11-18,161308.9334
452,2020-11-19,159721.6334
453,2020-11-20,160197.8234
454,2020-11-23,160779.8334
455,2020-11-24,161467.6634
456,2020-11-25,161097.2934
457,2020-11-26,160885.6534
458,2020-11-27,161203.1134
459,2020-11-30,157499.4134
460,2020-12-01,158769.25340000002
461,2020-12-02,160303.6434
462,2020-12-03,159509.9934
463,2020-12-04,161308.9334
464,2020-12-07,160779.8334
465,2020-12-08,161203.1134
466,2020-12-09,162261.3134
467,2020-12-10,162314.2234
468,2020-12-11,162631.6834
469,2020-12-14,162314.2234
470,2020-12-15,161838.0334
471,2020-12-16,162631.6834
472,2020-12-17,162684.59339999998
473,2020-12-18,162208.4034
474,2020-12-21,161679.3034
475,2020-12-22,162102.5834
476,2020-12-23,161150.2034
477,2020-12-24,162367.1334
478,2020-12-25,164800.9934
479,2020-12-28,164959.7234
480,2020-12-29,161573.4834
481,2020-12-30,162261.3134
482,2020-12-31,162472.9534
483,2021-01-04,159986.1834
484,2021-01-05,162472.9534
485,2021-01-06,169245.4334
486,2021-01-07,165806.2834
487,2021-01-08,168081.4134
488,2021-01-11,173478.2334
489,2021-01-12,165118.4534
490,2021-01-13,171414.7434
491,2021-01-14,173319.50340000002
492,2021-01-15,173054.9534
493,2021-01-18,173425.3234
494,2021-01-19,176705.7434
495,2021-01-20,179615.7934
496,2021-01-21,179139.6034
497,2021-01-22,180515.2634
498,2021-01-25,180938.5434
499,2021-01-26,177658.1234
500,2021-01-27,176282.4634
501,2021-01-28,178028.4934
502,2021-01-29,177499.3934
503,2021-02-01,176441.19340000002
504,2021-02-02,177023.2034
505,2021-02-03,176229.5534
506,2021-02-04,174271.8834
507,2021-02-08,175806.2734
508,2021-02-09,182790.3934
509,2021-02-10,182949.1234
510,2021-02-18,181414.7334
511,2021-02-19,182896.2134
512,2021-02-22,182367.1134
513,2021-02-23,181943.83340000003
514,2021-02-24,180515.2634
515,2021-02-25,182420.0234
516,2021-02-26,181414.7334
517,2021-03-01,182102.56339999998
518,2021-03-02,179351.2434
519,2021-03-03,183901.50340000002
520,2021-03-04,186705.7334
521,2021-03-05,191520.5434
522,2021-03-08,198769.2134
523,2021-03-09,199986.1434
524,2021-03-10,199827.4134
525,2021-03-11,199509.95339999997
526,2021-03-12,198610.4834
527,2021-03-15,197658.10340000002
528,2021-03-16,198822.1234
529,2021-03-17,197393.5534
530,2021-03-18,197393.5534
531,2021-03-19,200144.8734
532,2021-03-22,202949.10340000002
533,2021-03-23,204800.95339999997
534,2021-03-24,205171.3234
535,2021-03-25,205806.2434
536,2021-03-26,207128.9934
537,2021-03-29,206494.0734
538,2021-03-30,204060.2134
539,2021-03-31,204113.1234
540,2021-04-01,210885.60340000002
541,2021-04-02,210621.0534
542,2021-04-06,206599.8934
543,2021-04-07,206546.9834
544,2021-04-08,208398.83340000003
545,2021-04-09,206070.7934
546,2021-04-12,206282.43339999998
547,2021-04-13,207605.18339999998
548,2021-04-14,207869.7334
549,2021-04-15,207922.6434
550,2021-04-16,208875.0234
551,2021-04-19,208927.93339999998
552,2021-04-20,208610.47340000002
553,2021-04-21,208980.8434
554,2021-04-22,210938.5134
555,2021-04-23,216917.3434
556,2021-04-26,217340.6234
557,2021-04-27,218240.0934
558,2021-04-28,216864.43339999998
559,2021-04-29,216494.06339999998
560,2021-04-30,214589.3034
561,2021-05-06,219351.20339999997
562,2021-05-07,219404.1134
563,2021-05-10,220726.8634
564,2021-05-11,221520.5134
565,2021-05-12,222049.6134
566,2021-05-13,223901.4634
567,2021-05-14,224695.1134
568,2021-05-17,224589.2934
569,2021-05-18,226123.68339999998
570,2021-05-19,223319.45339999997
571,2021-05-20,222737.4434
572,2021-05-21,221996.70339999997
573,2021-05-24,225171.3034
574,2021-05-25,223848.5534
575,2021-05-26,221097.2334
576,2021-05-27,220832.68339999998
577,2021-05-28,229509.9234
578,2021-05-31,220832.68339999998
579,2021-06-01,220991.4134
580,2021-06-02,221679.2434
581,2021-06-03,227499.3434
582,2021-06-04,221308.8734
583,2021-06-07,221520.5134
584,2021-06-08,221414.6934
585,2021-06-09,223531.0934
586,2021-06-10,226070.7734
587,2021-06-11,223689.8234
588,2021-06-15,224166.0134
589,2021-06-16,224271.83340000003
590,2021-06-17,232102.5134
591,2021-06-18,224007.2834
592,2021-06-21,227181.8834
593,2021-06-22,224430.56339999998
594,2021-06-23,232208.33340000003
595,2021-06-24,230250.6634
596,2021-06-25,233531.08340000003
597,2021-06-28,235753.3034
598,2021-06-29,238769.1734
599,2021-06-30,230779.7634
600,2021-07-01,240726.8434
601,2021-07-02,238292.9834
602,2021-07-05,240356.47340000002
603,2021-07-06,243742.7134
604,2021-07-07,246546.9434
605,2021-07-08,243001.97340000002
606,2021-07-09,243954.35340000002
607,2021-07-12,241467.58340000003
608,2021-07-13,241203.0334
609,2021-07-14,242208.3234
610,2021-07-15,244800.9134
611,2021-07-16,245277.10340000002
612,2021-07-19,246282.3934
613,2021-07-20,250303.5534
614,2021-07-21,252949.0534
615,2021-07-22,246864.4034
616,2021-07-23,242208.3234
617,2021-07-26,235435.8434
618,2021-07-27,224430.56339999998
619,2021-07-28,225118.3934
620,2021-07-29,225964.95339999997
621,2021-07-30,224748.0234
622,2021-08-02,225118.3934
623,2021-08-03,224853.8434
624,2021-08-04,224271.83340000003
625,2021-08-05,226705.6934
626,2021-08-06,226017.8634
627,2021-08-09,226811.5134
628,2021-08-10,219668.6634
629,2021-08-11,224060.1934
630,2021-08-12,221785.06339999998
631,2021-08-13,215753.3234
